town,avg_an_wage2001,avg_an_wage2002,avg_an_wage2003,avg_an_wage2004,avg_an_wage2005,avg_an_wage2006,avg_an_wage2007,avg_an_wage2008,avg_an_wage2009,avg_an_wage2010,unemp_rate2003,unemp_rate2004,unemp_rate2005,unemp_rate2006,unemp_rate2007,unemp_rate2008,unemp_rate2009,unemp_rate2010,unemp_rate2011,unemp_rate2012,mun_tax_rate2011,med_val_owner_occ2000,med_val_owner_occ20052009,med_val_owner_occ20072011,med_month_own_cost_percent_hh_income1999,med_month_own_cost_percent_hh_income20052009,med_month_own_cost_percent_hh_income20072011,owner_occ_homes20052009,owner_occ_homes20072011,med_gross_rent2000,med_gross_rent20052009,med_gross_rent20072011,med_gross_rent_perc_inc1999,med_gross_rent_perc_inc20052009,med_gross_rent_perc_inc20072011,avg_commute_2000,total_crime_per_1000,perc_pop_consid_pov2000,perc_und_18_2000,perc_over_65_2000,perc_in_diff_town_5yr_ago,percent_fem,Land_Sq_Miles,med_age2000,pop_dens2000,popn2000,perc_bach_2000,EDUCATION,INCOME,POVERTY,HOUSING,COMMUTE,CRIME,TAXES,EMPLOYMENT,,,,,,,,,,
Burke,14832,15760,16620,17743,18196,21665,23085,23422,22371,23779,4.9,3.9,3.3,4.6,4.8,5.8,10.3,9.3,8.9,8.9,0.34,88500,167800,191000,21.9,21.3,19.3,471,553,448,586,716,25.4,26.9,28.7,24.02,68.11,13.88,23.62,11.39,41.06,46.51,34.05,39.1,46.14,1571,15.09,0.651530317,0.140405733,0.224025089,0.806356677,0.569650536,0.744963913,0.755510711,0,,,,,,,,,,
Burlington,34925,36089,37740,38699,40240,42831,45702,48521,48488,49888,4.2,3.5,3.1,2.9,3.1,3.5,6,5.2,0,4,0.72,127600,249900,258600,19.5,25.7,25.1,6088,6965,618,893,965,29.4,36.4,36.7,16.82,206.66,17.64,15.9,10.28,38.17,51.41,10.56,29.2,"3,770.56",39824,18.04,0.806932519,1,0,0.248080258,1,0,0.219257148,0.554565702,,,,,,,,,,
Cabot,29254,28865,30475,31210,33260,32574,32970,35415,36292,35684,3.9,3.4,3,3.5,4.1,3.8,5.4,5.3,4.6,3.6,0.4806,97200,183600,177500,19.2,24.4,26,518,527,663,639,950,41.9,28.5,20,27.5,74.2,7.42,28.36,9.98,35.28,48.72,37.29,37.9,32.53,1213,12.94,0.538271085,0.648585485,0.664439596,0.568839426,0.358881957,0.710705587,0.557096893,0.643652561,,,,,,,,,,
Calais,25506,27583,29447,33052,49306,37430,30300,27257,26461,24882,5.3,3.8,4,4.1,4.6,5.3,7.7,6,5.8,4.8,0.4906,121300,203700,246900,20.5,23.1,24.4,540,587,568,856,871,21.3,20.5,25,26.52,39.9,6.47,25.83,10.14,28.91,49.94,38.02,41,40.22,1529,15.37,0.666280356,0.187488661,0.729206436,0.559202378,0.418236327,0.903654784,0.542984957,0.376391982,,,,,,,,,,
Cambridge,20939,21228,21615,23052,24315,25509,26532,26691,26590,26358,5.9,5.1,5,5.7,5.6,6.6,11,8.9,6.9,5.4,0.32,123600,223500,233600,20.8,22.1,22.3,971,1101,603,880,888,24.4,25.9,24.9,32.17,106.09,5.15,24.39,8.6,35.47,49.48,63.66,35.9,50.04,3186,15.94,0.696307222,0.25049356,0.819198255,0.697836677,0.076040216,0.531313461,0.783734583,0.242761693,,,,,,,,,,
Canaan,27941,29631,27334,30056,31493,31258,31932,33991,29002,34766,4.1,2.9,2.6,3.2,3.7,3.3,5.8,8.9,6.9,6.6,0.682,79100,108700,109500,18.4,20.6,22.7,352,362,393,540,615,25.7,50,,14.71,37.11,14.47,26.9,13.82,27.64,48.69,33.2,38.8,32.47,1078,5.75,0.159511142,0.609399511,0.183801473,1,1,0.919349486,0.272882504,0,,,,,,,,,,
Castleton,23980,25249,27208,28053,28024,29021,30593,31671,32987,34089,4.6,3.9,3.9,4.5,4.9,5.5,8.7,8.1,6.7,6.1,0.3588,98200,170900,194800,19.4,23.8,21.7,1178,1254,532,747,820,23.4,30.8,35.9,22.43,67.55,8.63,19.88,10.92,37.87,50.54,39.02,33.2,111.91,4367,8.84,0.322288363,0.580500923,0.581947096,0.487024783,0.665949973,0.748114104,0.728980272,0.086859688,,,,,,,,,,
Cavendish,24563,25740,27264,28792,28249,24969,26308,27688,27583,28102,5.6,5.6,4.4,4,4.4,5.6,9.2,6.8,7.3,6.3,0.3277,91900,188100,181500,19.6,21,21.5,381,441,513,742,747,22.2,32.5,27.9,26.08,72.11,6.05,20.68,17.89,32.65,51.07,39.64,42.3,37.08,1470,7.96,0.275931096,0.324938372,0.757840196,0.681664838,0.444885228,0.722462549,0.772868392,0.042316258,,,,,,,,,,
Charlestown,17949,18597,20195,22378,21438,24779,26028,25454,25676,27270,6.6,5.3,6,6.3,7,7.4,10.3,9.8,NULL,NULL,0.5123,79000,138900,147400,20.8,20.8,20.7,260,233,438,771,763,20,28.8,32.5,22.17,59.22,20.11,24.36,11.73,35.31,49.94,37.48,40.7,23.88,895,6.26,0.186377285,0.289423416,0,0.629162391,0.68169705,0.794973195,0.512362056,0,,,,,,,,,,
Charlotte,31106,33807,33532,35270,37433,40426,45056,45962,43134,44167,3.1,2.4,2.4,2.3,2.4,3,4.5,4,3.4,2.9,0.182,263100,424600,477300,20.5,23,24,1244,1206,666,1566,1144,29.3,33.2,36.1,25.05,25.5,4.88,29.67,7.71,32.78,49.77,41.48,39.2,86.05,3569,21.88,1,1,0.837605672,0.333132807,0.507267882,0.984659695,0.978479298,0.799554566,,,,,,,,,,
Chelsea,22826,22322,23672,23373,24178,25991,27708,27023,27468,28147,4.3,3.8,3.8,3.9,4.2,5.2,7.7,7.6,7.1,6.4,0.4755,94800,168500,175800,19.3,22.7,22.8,410,472,435,593,691,29.2,28.3,26,26.23,102.42,15.08,25.32,19.6,29.27,49.48,39.92,41.6,31.06,1240,11.69,0.472422694,0.326859253,0.142214344,0.640391852,0.435800376,0.551958462,0.56429398,0.020044543,,,,,,,,,,
Chester,25136,26628,27510,28232,28811,29240,31444,31713,33158,32556,3.6,2.9,3,2.6,3.6,3.8,8.4,8.5,7.5,7.1,0.6079,106800,171800,188000,19.6,26.5,24.4,1078,1031,512,775,804,26,31.4,28.8,21.37,75.89,7,24.01,16.13,29.89,50.73,55.89,41.9,54.47,3044,10.68,0.419217194,0.515062909,0.693073357,0.472917183,0.730149597,0.70119876,0.377451949,0,,,,,,,,,,
Chittenden,20792,20570,21334,24716,25864,25984,25888,27890,27136,29075,3.4,2.7,2.5,3.2,3.2,4.1,7.7,6.7,5.2,5.4,0.3903,128900,218900,239700,19.4,19.5,19.3,393,406,613,1030,1024,25.3,27,27,22.72,28.76,6.18,26.31,8.38,27.58,49.38,73.01,39.6,16.19,1182,15.4,0.667860717,0.366472089,0.748977366,0.844957949,0.648385925,0.966321083,0.684527674,0.242761693,,,,,,,,,,
Clarendon,27791,27567,32003,27627,27776,28543,30214,32568,31915,31986,4.2,3.5,3.3,3.5,3.3,4.2,6.6,5.6,5.2,4.9,0.431,96500,145400,168100,20.1,20.1,19.6,921,827,526,811,845,23.2,24,24.6,18.19,61.54,7.65,23.09,10.35,25.93,49.22,31.55,41.5,89.08,2811,10.6,0.415002897,0.490731749,0.648759204,0.879973342,0.922748471,0.781922404,0.627092094,0.354120267,,,,,,,,,,
Colchester,32221,33673,35261,36939,39282,39553,41158,42704,42954,43321,3.8,3,3.1,3.3,3.2,3.7,5.6,5,4.6,4.1,0.7387,131300,223500,237300,20.6,23.3,21.7,4768,4579,691,937,989,24,31.1,31.9,19.72,115.92,5.7,22.57,6.43,44.93,50.47,36.88,32.6,460.52,16986,14.54,0.622557025,0.974580341,0.781701663,0.577851304,0.830082975,0.476016358,0.192867828,0.532293987,,,,,,,,,,
Concord,20413,21307,22308,24943,24605,26020,26811,27233,28127,29733,6.1,4.4,4.3,5.4,6,6.4,11.7,10.1,8.3,9,0.479,71900,115400,132700,18.3,21.5,21.6,490,458,538,825,729,28.8,24.1,46.2,24.97,75.27,11.08,26.05,12.16,35.57,49.79,51.44,37,23.5,1209,4.63,0.100510984,0.394559638,0.414916826,0.259639997,0.512113137,0.704686472,0.559354802,0,,,,,,,,,,
