town,perc_pop_consid_pov2000,perc_und_18_2000,perc_over_65_2000,perc_in_diff_town_5yr_ago,percent_fem,Land_Sq_Miles,med_age2000,pop_dens2000,2000_population,perc_bach_2000,avg_commute_2000,total_crime_per_1000,avg_wage2000,avg_wage2001,avg_wage2002,avg_wage2003,avg_wage2004,avg_wage2005,avg_wage2006,avg_wage2007,avg_wage2008,avg_wage2009,avg_wage2010,unemployment_rate2002,unemployment_rate2003,unemployment_rate2004,unemployment_rate2005,unemployment_rate2006,unemployment_rate2007,unemployment_rate2008,unemployment_rate2009,unemployment_rate2010,unemployment_rate2011,unemployment_rate2012,mun_tax_rate2011,med_val_owner_occ2000,med_val_owner_occ20052009,med_val_owner_occ20072011,med_month_own_cost_percent_hh_income1999,med_month_own_cost_percent_hh_income20052009,med_month_own_cost_percent_hh_income20072011,owner_occ_homes20052009,owner_occ_homes20072011,med_gross_rent1980,med_gross_rent1990,med_gross_rent2000,med_gross_rent20052009,med_gross_rent20072011,med_gross_rent_perc_inc1989,med_gross_rent_perc_inc1999,med_gross_rent_perc_inc20052009,med_gross_rent_perc_inc20072011
UNDERHILL,5.17,28.99,5.67,28.39,49.1,51.35,37.8,58.03,2980,21.11,30.51,30.87,19705,19815,21534,23071,22847,26294,26837,29070,30761,30829,32139,4,4.9,4,4.3,4.3,4.2,5.7,7.2,6.8,6.7,5.5,0.4536,157000,276200,292300,19.4,22.1,21.6,1039,1032,369,706,720,1026,920,31.6,19.8,29.9,30.8
VERGENNES,16.64,28.38,11.35,37.47,49.05,2.4,32.6,"1,141.11",2741,10.47,22.14,92.67,25992,27976,29095,30611,31957,33084,34603,35960,39248,39093,39897,2.5,2.5,2.2,5.3,9.9,9.3,10.3,6.6,5.3,5,3.8,0.6032,95600,182900,182800,21.2,25.7,23.8,535,579,220,385,555,695,736,27,27,31,30
VERNON,2.66,27.23,13.45,32.84,50,19.38,39,110.46,2141,8.08,20.38,95.75,19342,22166,23051,23791,24938,27271,29805,29585,31593,28360,27810,2.1,1.9,1.8,4,10,8.1,8.4,5.8,5.6,4.1,4.2,0.446,130000,196700,204100,18.3,21.1,19.7,700,665,182,445,634,450,658,23.6,24.5,30.5,30.8
VERSHIRE,13.04,26.55,10.49,33.7,49.69,36.5,38.4,17.23,629,8.74,30.64,77.9,15360,16998,18246,22932,20348,22231,22379,22721,22746,24284,22948,8.4,10.7,7.6,5.1,2,3.2,3.9,3.3,2.5,3,0,0.8106,76400,173700,172800,19.8,22.9,26.1,186,213,128,500,575,692,725,25,26.5,18.1,22.5
VICTORY,14.43,17.53,18.56,37.11,45.92,42.97,46.5,2.26,97,11.34,36.86,113.4,19914,19441,19718,19027,18369,20912,20962,20478,19225,17054,15890,5.1,5.2,10.6,6.4,6.2,8.4,9.9,15.9,10.9,6.7,5.5,0.1812,59300,62500,99200,16.7,23.1,20.3,43,59,,375,425,,,10,27.5,,
WAITSFIELD,5.85,21.28,12.18,33.57,50.12,26.91,40.3,61.66,1659,23.45,21.21,75.35,25544,26195,27038,28426,30152,30760,31852,33229,35152,36175,36770,4.7,5.8,4.8,4.6,4.9,4.9,5.5,8.4,7.1,6.8,5.8,0.294,157800,350600,365500,22.2,24.8,26.7,565,578,278,490,570,653,615,24.6,27.2,26.1,24.6
WALDEN,7.93,28.52,9.85,30.56,50.91,38.73,36.4,20.19,782,10.36,28.59,80.56,22970,27177,22601,22143,22376,31666,31633,32152,31349,34575,36394,3.4,3.1,2.2,2,2.9,2.6,3.1,4.6,4,3.2,3.2,0.5677,88800,142400,159400,20.9,25.9,27,292,309,220,292,538,917,625,35.1,21.3,23.1,27.1
WALLINGFORD,5.89,23.35,13.68,21.2,50.52,43.24,41.6,52.59,2274,10.69,23.79,45.73,21712,22773,23149,24562,26358,27144,27161,27054,27618,27661,26948,2.7,3.4,2.5,2.1,2.7,3.7,4.9,7.4,5.9,5.6,4.6,0.2127,104900,194600,203600,20.8,23.7,25.1,729,844,246,412,517,685,712,24.2,24.6,26.1,21.4
WALTHAM,4.18,28.81,9.6,28.6,48.04,8.72,39.1,54.92,479,16.91,23.05,18.79,30369,30337,30685,30745,32445,31681,34354,36249,38705,35734,36289,4.8,5.7,4.8,3.5,3.9,4.5,5.7,9.9,8.4,7.5,6.4,0.38,133500,238300,257500,19.4,20.1,22.4,177,193,308,491,617,779,1075,17.9,28.3,19.4,31.5
WARDSBORO,7.49,23.65,11.24,37.59,46.68,29.28,40.7,29.17,854,14.29,27.25,43.33,21730,22978,27081,25999,26946,29155,30244,29175,62672,29021,29333,4.8,5.1,4.5,5.4,5,4.9,6.1,9.1,7.4,6.4,5.7,0.4138,103000,218300,205400,24.2,19.6,30.3,296,257,225,475,658,756,665,18.3,25.4,23.6,29.3
WARNER'S GRANT,0,0,0,0,0,3.15,0,0,0,0,,0,19003,20672,21132,22074,24890,25570,25895,26809,27301,27966,30196,6.9,6.6,5.4,4.9,5.2,5.4,5.9,9.3,9,7.6,7.9,0.05,,,,,,,0,0,,,,,,,,,
WARREN,7.97,22.9,9.58,39.68,48.03,40.06,39.6,41.96,1681,22.84,22,76.74,25384,26604,27105,28936,30404,30984,33461,33907,33930,33419,35054,1.8,2.1,1.9,1.7,1.6,1.9,2.2,3.6,3.2,3.3,3.1,0.2647,151300,230800,275700,22.5,22.9,22,548,523,298,525,624,1021,640,24.2,26.2,31.8,29.2
WARREN'S GORE,0,20,20,0,40,10.94,46.5,0.91,10,0,,200,30624,32282,34072,35282,37343,38167,39696,42199,43823,43224,43346,2.3,2.4,2.2,2.1,2.1,2.5,2.8,4.3,4.2,4,3.4,0.0826,,,179200,,,10.8,0,5,,,,,,,,,
WASHINGTON,6.11,25.6,9.36,23.97,47.27,38.86,38.7,26.94,1047,7.64,29.62,57.31,20341,22015,22762,22820,24534,26331,27964,29636,30736,31445,31144,3.8,3.9,3,2.9,3.5,3.6,4.5,7.8,7.4,6.4,5.1,0.4947,89700,168200,172600,17.7,21.5,20.3,350,365,182,314,467,583,697,24.4,25,15,30.6
WATERBURY,6.06,25.09,10.34,31.41,48.46,48.23,37.7,101.91,4915,18.31,25.23,37.23,13792,15699,14582,17348,14991,16273,17364,16966,18097,18339,20877,5.3,7.6,6.2,3.6,2.4,2.3,3.2,5.9,4.2,4.8,3.9,0.32,130700,260200,272800,18.6,25.1,24.7,1432,1481,214,434,580,926,918,23.4,22.9,26.4,26.3
WATERFORD,4.26,24.64,13.95,26.99,45.8,38.15,42.5,28.94,1104,11.96,22.9,73.37,17097,18475,19430,20572,22690,24288,23821,25539,27502,28252,30105,3.2,4,4.2,3.3,3.9,3.7,4.5,6.3,6,5.8,4.9,0.3316,111100,211900,223100,16.1,21.4,21.4,431,466,204,406,631,865,857,22.5,15.9,18.9,20
WATERVILLE,10.76,27.98,10.19,25.25,46.32,16.4,36.4,42.51,697,11.76,32.23,38.74,18589,20780,21977,26196,26259,26871,29888,30021,31492,33525,33680,2.2,2.7,1.9,2.2,2.5,2.7,2.8,3.3,3.6,3.2,3.2,0.4389,98900,161500,164400,23.8,19.9,24.6,224,244,269,425,513,825,940,23.8,33.1,25,25.9
WEATHERSFIELD,6.42,20.55,16.32,31.92,49.51,43.78,43.5,63.69,2788,10.58,23.44,68.87,20616,22441,24103,21356,21268,18803,20537,22152,20925,23000,22989,4.4,3.8,3.3,2.9,3.1,2.9,3.1,4,4.8,4.5,3.9,0.6167,94300,171200,185300,20.6,21.3,22.8,1111,1065,237,467,576,595,1180,24.3,23.3,19.7,27.9
WELLS,11.69,22.21,18.55,29.35,51.44,22.55,43.3,49.7,1121,7.23,27.63,35.68,,,,,,,,,,,,,,,,0,0,0,0,,NULL,NULL,0.3067,94300,172900,172900,19.6,19,19.8,415,448,240,456,545,863,767,28.1,23.8,24.2,25
WEST FAIRLEE,10.47,27.82,8.4,39.94,48.18,22.6,35.2,32.12,726,9.37,29.82,50.96,20599,21387,24768,24512,24812,25049,28163,27942,28334,28380,27052,2.1,2.6,2.7,3,3.8,3.7,4.3,5.7,5.7,4.8,4.4,0.6158,95500,146300,167400,17.3,24.9,22.8,222,228,269,554,578,791,1042,20.8,23.1,26.2,29.7
WEST HAVEN,3.96,22.66,11.87,28.78,48.11,28,41.3,9.93,278,9.35,24.66,86.33,32184,32483,33275,34319,35570,36560,39778,39111,40620,40865,42463,3.2,3.6,2.9,3.5,4.5,4.1,4.9,5.7,5,4,3.7,0.8545,108300,161300,169200,19.2,23.8,20.4,81,96,200,400,225,646,689,22.5,27.5,20.8,20
WEST RUTLAND,11.2,23.79,15.15,23.71,51.31,18,39,140.86,2535,8.44,20.05,89.55,20153,20585,20158,21057,21523,21975,23348,24196,23993,24422,25242,3.5,3.9,3.1,3,3.1,3.4,4.4,5.8,4.8,5.6,4.1,0.6598,88600,144300,160600,19.8,25.5,25.8,692,752,224,454,557,803,692,26.8,24,29.4,30.1
WEST WINDSOR,5.62,21.56,15.56,37.58,49.26,24.7,45.3,43.2,1067,22.21,26.15,15,24611,25825,26932,27927,28977,29603,30973,32149,31740,33329,33598,2.4,2.7,2.4,2.3,2.2,2.5,3.1,5.4,5,4.6,4.1,0.25,173700,331000,344900,19.7,22.1,22.6,376,427,302,491,744,1097,1516,25.2,33.5,27.1,22.7
WESTFIELD,9.34,21.27,16.5,34.79,48.17,40.17,43.9,12.52,503,8.75,25.93,21.87,21834,21497,23856,24563,27552,26374,26713,27003,28303,24649,25202,5.1,5,4.3,3.2,3.3,3.7,4.6,7.6,5.7,6.6,6.3,0.4589,88900,123300,168400,20.7,30.2,22.7,140,173,205,363,563,1114,1023,26.3,27.5,50,
WESTFORD,4.89,30.54,5.61,26.8,48.85,39.26,35.9,53.13,2086,17.55,29.67,30.68,20303,22549,23309,24881,26006,25482,26355,26348,26991,27822,28951,2.2,2.7,2.4,2.1,2,2.5,2.8,5,5.4,4,3.7,0.4547,131800,240700,256600,21.1,23.9,24.6,721,735,248,517,622,1338,975,23.8,22.3,28.3,25.9
WESTMINSTER,9.91,27.32,10.28,31.99,50.54,46.08,38.5,69.66,3210,11.46,20.74,67.29,23979,25859,25992,28642,27767,28590,30062,31301,31087,31617,32064,3.8,4,3.1,3,3.2,3.2,3.4,6.4,6.1,5.3,5,0.6071,98100,172700,169300,19.3,23.3,23.4,1022,1092,231,505,543,903,690,23.8,25.8,31.7,30.4
WESTMORE,16.01,16.67,16.67,38.24,48.26,34.52,45.9,8.86,306,12.42,23.45,39.22,35914,39878,40499,43085,44111,47473,50795,52552,49202,48744,46638,4.1,4,3.2,3.3,3.7,3.7,4.8,8.3,7,6.5,6.6,0.3555,89700,178600,217600,20.7,17.1,18.1,102,136,,325,475,1050,1042,26.3,41.7,50,
WESTON,7.78,18.57,22.54,26.19,46.87,35.09,50.4,17.95,630,16.83,35.43,69.84,15890,16909,18921,22609,22154,23913,27334,29383,26572,21925,26451,4,3.2,2.8,15.6,32.1,25.3,28,16.6,12.1,6.8,4.3,0.4188,170200,324400,294600,17.7,20.1,22.1,207,220,273,461,653,938,850,22.5,24.1,27.8,24.6
WEYBRIDGE,3.64,25,14.93,30.95,50,17.01,41.3,48.45,824,16.99,17.65,41.26,,,,,,,,,,,,2.6,4.3,3.3,3.9,1.6,1.7,2.2,6.7,6.5,5.3,4.5,0.4,143200,308500,341300,18.8,21.1,22.7,263,264,260,490,563,888,992,28.3,19.1,18.5,18.5
WHEELOCK,8.37,25.93,9.66,34.46,50.98,39.56,40.1,15.7,621,10.31,20.95,27.38,26571,26093,27478,28261,31746,35854,36870,39405,40503,41046,43833,3.9,4.2,3.7,2.7,2.4,2.9,3.9,8.3,5.8,6.3,5.8,0.6242,82500,142000,165100,16.7,18.9,21.3,221,231,185,,563,727,774,,21.3,28,21.6
WHITING,4.47,23.42,12.37,14.74,45.81,13.68,39.2,27.78,380,6.32,27.32,36.84,16604,16640,17534,18857,19959,26846,30025,32055,27332,23774,24319,7.6,8.5,6.8,3.9,2.4,2.4,2.7,3.2,2.9,2,2,0.7595,95500,184400,180000,25,19.5,18.5,141,132,160,413,588,800,786,35.1,27.5,24.1,22.3
WHITINGHAM,7.86,25.27,12.48,27.73,52.06,37.08,39.1,35.01,1298,8.71,27.26,57.01,18800,19478,18061,20283,20440,21049,22754,21313,22775,23351,22467,3.4,4.3,5.2,4.9,5,4.8,6.3,9.2,8.4,8.6,6.8,0.5321,111200,205200,214300,20.9,23,26,451,460,250,435,495,784,889,24.5,24.2,17.7,18.1
WILLIAMSTOWN,7.97,26.17,9.83,28.47,47.44,40.18,36.4,80.27,3225,5.89,23.92,93.02,25297,25767,26046,28599,27508,28647,29572,31168,31879,32915,34228,9.7,10.2,7.7,7.6,7.6,8.9,9.3,14.1,12.6,13.6,12.5,0.5604,88200,151000,161800,21.4,23.7,21.5,1044,1178,192,375,450,750,756,25.7,19.9,32.9,42.3
WILLISTON,1.49,27.53,11.71,40.33,47.92,30.34,38.8,252.15,7650,18.16,18.54,109.02,20134,20770,20751,21176,24377,24464,28920,30879,32614,32102,32842,1.9,1.8,1.6,1.7,1.4,1.7,1.7,2,1.8,1.8,1.6,0.21,159200,295500,298700,19.4,22.3,21.8,2739,2844,320,618,772,892,988,25,25.5,46.7,41.3
WILMINGTON,9.26,21.57,14.11,34.25,49.11,39.44,41.9,56.41,2225,14.43,19.28,137.98,16913,16649,16228,15351,20558,19014,,,14876,11284,13293,1.9,1.9,1.8,1.6,1.6,1.8,2.2,2.6,2.4,4,3.2,0.4413,120100,227400,233300,21.1,23.7,24.6,538,710,229,437,588,713,778,26.1,25.2,29.1,29.7
WINDHAM,6.4,19.21,22.26,25.3,46.06,26.07,42.8,12.58,328,14.33,24.17,70.12,15322,,,11842,13248,15118,16607,16506,18069,19026,16893,3.5,2.9,2.8,7.6,16.6,12.4,17.3,8.4,5.9,4.9,3.1,0.6266,125000,202700,206000,23.1,24.7,31.3,193,187,275,700,550,940,1275,27.5,20,35,35.5
WINDSOR,7.22,22.18,20.69,41.85,52.29,19.55,40.8,192.14,3756,7.75,21.38,128.59,28881,23680,25536,27705,28013,26924,25264,26535,28722,29145,27725,4.3,4.1,3.6,3.8,3.8,4.2,5,6.3,5.7,4.9,3.9,1.1087,86400,147100,167900,19.6,21.7,26.2,803,799,201,382,490,754,780,26.6,24.6,33.7,33.7
WINHALL,3.99,17.24,19.8,42.45,48.5,43.67,45.3,16.07,702,27.21,18.4,219.37,28043,29254,28865,30475,31210,33260,32574,32970,35415,36292,35684,4.2,3.9,3.4,3,3.5,4.1,3.8,5.4,5.3,4.6,3.6,0.31,178100,312000,331300,15.5,18.4,24.5,201,228,350,580,727,867,938,25,22.5,29,21.3
WINOOSKI,15.13,21.54,13.55,34.43,52.83,1.43,32.9,"4,586.14",6561,12.42,18.91,201.8,,,,,,,,,,,,,,,,0,0,0,0,,NULL,NULL,0.8911,115000,206000,213100,20.1,23.9,23.9,1064,1183,237,480,582,935,947,26.1,26.7,29.3,31
WOLCOTT,14.84,28.43,6.87,34.96,44.7,39.03,33.4,37.3,1456,7.07,28.51,59.75,14412,15236,21575,22466,25992,27345,27782,28703,28459,29317,30819,4.4,3.9,3.4,3.3,4,3.9,4.3,5.8,4.8,5.1,4.5,0.466,84700,164900,189200,19.3,24.3,26.6,601,577,200,375,537,677,758,35.1,27.7,36.1,
WOODBURY,8.28,23.61,7.05,31.4,47.11,37.77,40,21.42,809,16.19,32.54,51.92,17886,20125,19709,20936,24414,26413,27731,31281,31240,29426,30632,4.6,4.9,3.8,4.2,4.7,5.7,6.2,8.7,7.5,8.3,6.6,0.3396,87700,190600,179000,20.5,24.3,23.3,350,380,190,425,553,717,675,24.2,23.8,40,24.2
WOODFORD,15.94,21.74,10.63,40.34,50.74,47.46,39.9,8.72,414,6.52,23.11,157,24158,25506,27583,29447,33052,49306,37430,30300,27257,26461,24882,4.6,5.3,3.8,4,4.1,4.6,5.3,7.7,6,5.8,4.8,0.0152,91300,143100,151000,17.3,22.9,22.3,103,104,252,550,547,964,1100,27.5,42.5,31.9,34.5
WOODSTOCK,6.19,20.67,18.84,33.97,51.69,44.53,45.3,72.58,3232,22.83,20.02,65.28,31194,33459,34470,36368,37618,38817,40052,42212,45091,45265,46566,2.6,3,2.5,2.4,2.4,2.7,3.2,6,5.5,5,4.5,0.33,190400,370400,361000,20.4,23.5,23.8,1008,1061,261,534,669,1056,1063,30.5,27.1,23.5,23.8
WORCESTER,8.31,26.39,6.43,26.72,50.51,38.75,38.2,23.28,902,13.53,27.61,36.59,27831,29955,32423,34813,39325,37082,34488,35636,37502,41419,39228,3.3,4.8,4.5,4.8,4.7,4.4,4.7,7,6.5,7.2,6,0.4636,100200,194200,209100,20.3,19.6,20.8,339,388,182,425,571,950,1045,23.8,33.8,21.7,23.2
